dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2023-04-30,668.474,500,"kcal","91","30",13,12
2023-05-01,690.07,500,"kcal","89","30",13,12
2023-05-02,710.94,500,"kcal","91","30",13,12
2023-05-03,749.451,500,"kcal","90","30",14,12
2023-05-04,590.705,500,"kcal","80","30",13,12
2023-05-05,622.027,500,"kcal","82","30",12,12
2023-05-06,574.282,500,"kcal","70","30",15,12
2023-05-07,713.337,500,"kcal","100","30",12,12
2023-05-08,724.681,500,"kcal","89","30",13,12
2023-05-09,734.078,500,"kcal","77","30",16,12
2023-05-10,668.274,500,"kcal","85","30",12,12
2023-05-11,601.533,500,"kcal","80","30",12,12
2023-05-12,566.234,500,"kcal","66","30",14,12
2023-05-13,951.449,500,"kcal","105","30",16,12
2023-05-14,859.06,500,"kcal","120","30",14,12
2023-05-15,645.857,500,"kcal","79","30",14,12
2023-05-16,763.139,500,"kcal","95","30",12,12
2023-05-17,1296.96,500,"kcal","181","30",16,12
2023-05-18,699.921,500,"kcal","77","30",14,12
2023-05-19,692.001,500,"kcal","91","30",14,12
2023-05-20,879.789,500,"kcal","123","30",15,12
2023-05-21,872.135,500,"kcal","128","30",12,12
2023-05-22,734.411,500,"kcal","93","30",14,12
2023-05-23,738.839,500,"kcal","89","30",14,12
2023-05-24,629.35,500,"kcal","83","30",12,12
2023-05-25,637.962,500,"kcal","78","30",13,12
2023-05-26,702.007,500,"kcal","82","30",13,12
2023-05-27,861.298,500,"kcal","118","30",14,12
2023-05-28,735.935,500,"kcal","65","30",14,12
2023-05-29,649.767,500,"kcal","76","30",12,12
2023-05-30,676.193,500,"kcal","78","30",13,12
2023-05-31,745.389,500,"kcal","93","30",14,12
2023-06-01,642.167,500,"kcal","75","30",12,12
2023-06-02,572.297,500,"kcal","73","30",14,12
2023-06-03,779.549,500,"kcal","101","30",12,12
2023-06-04,802.993,500,"kcal","114","30",13,12
2023-06-05,762.026,500,"kcal","92","30",12,12
2023-06-06,716.62,500,"kcal","87","30",12,12
2023-06-07,633.388,500,"kcal","80","30",12,12
2023-06-08,505.661,500,"kcal","52","30",13,12
2023-06-09,616.346,500,"kcal","75","30",13,12
2023-06-10,847.895,500,"kcal","124","30",16,12
2023-06-11,658.823,500,"kcal","86","30",14,12
2023-06-12,712.873,500,"kcal","89","30",13,12
2023-06-13,790.09,500,"kcal","100","30",15,12
2023-06-14,848.737,500,"kcal","118","30",12,12
2023-06-15,547.963,500,"kcal","69","30",13,12
2023-06-16,754.385,500,"kcal","98","30",15,12
2023-06-17,829.111,500,"kcal","116","30",12,12
2023-06-18,875.748,500,"kcal","129","30",15,12
2023-06-19,826.775,500,"kcal","113","30",13,12
2023-06-20,865.599,500,"kcal","108","30",15,12
2023-06-21,808.516,500,"kcal","110","30",15,12
2023-06-22,665.948,500,"kcal","82","30",15,12
2023-06-23,722.815,500,"kcal","94","30",13,12
2023-06-24,730.046,500,"kcal","70","30",16,12
